image,feedback
confident/1.png,Your confidence is a reflection of your hard work let it flow naturally
confident/2.png,You know your story tell it with pride and calm
confident/3.png,Let your confidence stay quiet and steady no need to rush
confident/4.png,Keep your energy balanced and your thoughts sharp you are doing well
confident/5.png,You are leading this conversation with clarity and strength
confident/6.png,Stay focused and composed your presence speaks volumes
confident/7.png,You have earned this moment trust your skills and keep going
confident/8.png,Let your preparation shine through every answer you give
confident/9.png,You are doing great stay steady and let your confidence guide you
confident/10.png,Keep your energy balanced and your thoughts sharp you are doing well
confident/11.png,Your confidence is a reflection of your hard work let it flow naturally
confident/12.png,You know your story tell it with pride and calm
confident/13.png,"Take a break for a while you look worried. Space out a liitle and take a breath. You do not have to have all the answers right now. Stay steady, and trust yourself and figure it out, step by step"
confident/14.png,"You seem composed and present. If you have something on your mind, feel free to share or take a moment to gather your thoughts. You're doing fine."
confident/15.png,"You appear thoughtful and composed. Keep going at your pace, your presence is steady and clear."
confident/16.png,Keep your energy balanced and your thoughts sharp you are doing well
confident/17.png,You are leading this conversation with clarity and strength
confident/18.png,Stay focused and composed your presence speaks volumes
confident/19.png,"Take a break for a while you look worried. Space out a liitle and take a breath. You do not have to have all the answers right now. Stay steady, and trust yourself and figure it out, step by step"
confident/20.png,"You seem composed and present. If you have something on your mind, feel free to share or take a moment to gather your thoughts. You're doing fine."
confident/21.png,"You appear thoughtful and composed. Keep going at your pace, your presence is steady and clear."
confident/22.png,"You seem to be doing good, keeping steady and focused. It is perfectly fine to be in a neutral space, stay present and proceed with confidence."
confident/23.png,You appear attentive and composed. Keep maintaining that calm energy it's a valuable asset in any conversation.
confident/24.png,Let your preparation shine through every answer you give
confident/25.png,You are doing great stay steady and let your confidence guide you
confident/26.png,You know your story tell it with pride and calm
confident/27.jpg,"You have invested the time to prepare and grow for this opportunity, so trust in your journey and speak with the confidence that comes from knowing your own worth."
confident/28.jpg,"This moment is a reflection of everything you have worked hard for, so stay centered and let your voice carry the calm strength you have developed along the way."
confident/29.jpg,"You donate need to impress anyone with perfection just be present, be clear, and let your genuine intentions guide your answers with ease and composure."
confident/30.jpg,"Take each question as a chance to share your unique experiences and perspectives, and remember that your story holds meaning and insight worth hearing."
confident/31.jpg,"Let your energy remain calm and steady while you share your thoughts, knowing that your presence alone already makes a positive and lasting impression."
confident/32.jpg,"You have already shown resilience and effort to reach this stage, so allow that same resilience to carry you forward with a clear and focused mind."
confident/33.jpg,"Breathe deeply, stay grounded in your preparation, and allow each answer to flow naturally from the effort and thought you have put into getting here."
confident/34.jpg,You have overcome challenges before and today is no different stay focused and speak with assurance in your ability to adapt and respond with grace.
confident/35.jpg,"Everything you have learned and experienced has led to this conversation show up fully, stay calm, and trust in your ability to communicate clearly and confidently."
confident/36.jpg,"Your voice, your pace, and your clarity already speak volumes stay centered and let the rest unfold naturally, one thoughtful response at a time."
confident/37.jpg,"This is your opportunity to express the value you bring, so remain steady and allow your preparation to speak louder than nerves or hesitation."
confident/38.jpg,You are here because you have earned the right to be your preparation and self-awareness have set the foundation for a meaningful and strong interaction.
confident/39.jpg,"Let the depth of your preparation shine through each word you say, and remember that staying calm is one of your greatest strengths today."
confident/40.jpg,"When you speak from a grounded place, your words carry more weight stay connected to that calm center and let your thoughts come through with ease."
confident/41.jpg,"You are capable of answering every question thoughtfully and clearly, so take your time and let your natural clarity lead the way."
confident/42.jpg,"you have prepared with care and intention, so trust in that process and speak with the quiet confidence that comes from showing up authentically."
confident/43.jpg,Let your calm presence and collected thoughts create a sense of trust and connection you donate need to rush or force anything to be impressive.
confident/44.jpg,"Every answer is a moment to reveal your growth and perspective be thoughtful, stay present, and let your values shape your response."
confident/45.jpg,You have everything you need within you to navigate this conversation just be patient with yourself and stay aligned with your purpose and preparation.
confident/46.jpg,Keep breathing through each moment and remember that calm energy communicates strength and presence more than any rushed or over-prepared words can.
confident/47.jpg,"You are allowed to pause, reflect, and speak slowly thoughtful communication shows control and self-awareness that often leaves a lasting impression."
confident/48.jpg,"Allow your answers to reflect your genuine experiences and insights, rather than what you think someone wants to hear thatâ€™s where your power lies."
confident/49.jpg,"Speak with clarity and warmth, and let your words reflect the thoughtful work you have done to understand both yourself and this opportunity."
